Agency No.,Agency Name,Agency Address,Agency City,Agency Zip Code,Agency Phone No.,Agency E-mail,Agency Contact,Date,Frequency,Day of Week,Morning Opening Hour,Morning Closing Hour,Afternoon Opening Hour,Afternoon Closing Hour,Comments
1197,Loaves & Fishes-Glendale,4322 San Fernando Road,Glendale,91204,818.409.3080,lyoung@ccharities.org,Lora Young,,,Wednesday,10:00:00 AM,12:00:00 PM,1:15:00 PM,3:30:00 PM,
1197,Loaves & Fishes-Glendale,4322 San Fernando Road,Glendale,91204,818.409.3080,lyoung@ccharities.org,Lora Young,,,Friday,10:00:00 AM,12:00:00 PM,1:15:00 PM,3:30:00 PM,
1213,First Baptist Church-Hope Net,760 S. Westmoreland Avenue,Los Angeles,90005,213.384.2151,lee.strand@me.com,Lee Strand,,,Friday,8:00:00 AM,9:30:00 AM,,,
1214,Family Church Whittier,8434 S. Greenleaf Avenue,Whittier,90602,626-893-1236,foofysada@hotmail.com,Director James Depaola,,,Sunday,10:15:00 AM,10:45:00 AM,12:15:00 PM,12:30:00 PM,
1214,Family Church Whittier,8434 S. Greenleaf Avenue,Whittier,90602,626-893-1236,foofysada@hotmail.com,Director James Depaola,,,Sunday,1:45:00 PM,,,2:15:00 PM,
1225,St. Andrew Catholic Church,140 Chestnut Street,Pasadena,91103,626- 792-4183,fausto@performancepost.com,Fausto Sanchez,,,Saturday,9:00:00 AM,11:00:00 AM,,,
1227,Jesus Christ the Reedemer Center,755 E. 223rd Street,Carson,90745,424.264.9875,victorbayanjr@yahoo.com,"Victor N. Bayan, Jr.",,,Saturday,11:00:00 AM,11:30:00 AM,,,Except last Saturday
1241,S.V.P. Our Lady of the Assumption Conference,1770 Sumner Avenue,Claremont,91711,909.238.3235,oanglin1@yahoo.com,Olga Anglin,,3rd,Sunday,,,4:00:00 PM,4:30:00 PM,
1249,Living Springs Foursquare Church,17134 E. Ave O,Palmdale,93591,661.264.1717,livingsprings@roadrunner.com,Pastor Al Toyne,,"1st, 3rd & 4th",Wednesday,8:00:00 AM,10:00:00 AM,,,Except 2nd Wednesday
1251,Normandie Community Development Food Pantry  ,3801 South Normandie Avenue,Los Angeles,90037,323.731.7787,revflomac@att.net,Ana Bey,,4th,Saturday,11:45:00 AM,,,1:00:00 PM,
1264,Palmdale Foursquare Church,38325 10th Street East,Palmdale,93550,661.947.2938,bgkpra2rjc@sbcglobal.net,Monica Fiser,,4th,Tuesday,10:00:00 AM,,,12:00:00 PM,Next Dist. 11/17  and 12/15
1274,Lady Bug Ministry,14725 Gramercy Place,Gardena,90247,(323) 751-3748,perfectedwoman@hotmail.com,Yolanda Gilliam,,Last ,Tuesday,9:00:00 AM,10:00:00 AM,,,
1283,Heavenly Vision Church of God in Christ,841 W. 85th Street,Los Angeles,90044,323.245.2651,lulaclark@juno.com,Lula Clark,,4th,Friday,,,12:00:00 PM,2:00:00 PM,
1295,Salvation Army- South L.A.,7651 South Central Avenue,Los Angeles,90001,323.586.0759,helen.arellanes@usw.salvationarmy.org,Helen Arellanes,,,Monday,9:00:00 AM,12:45:00 PM,2:15:00 PM,4:45:00 PM,
1295,Salvation Army- South L.A.,7651 South Central Avenue,Los Angeles,90001,323.586.0759,helen.arellanes@usw.salvationarmy.org,Helen Arellanes,,,Tuesday,9:00:00 AM,12:45:00 PM,2:15:00 PM,4:45:00 PM,
1295,Salvation Army- South L.A.,7651 South Central Avenue,Los Angeles,90001,323.586.0759,helen.arellanes@usw.salvationarmy.org,Helen Arellanes,,,Wednesday,,,2:15:00 PM,4:45:00 PM,
1295,Salvation Army- South L.A.,7651 South Central Avenue,Los Angeles,90001,323.586.0759,helen.arellanes@usw.salvationarmy.org,Helen Arellanes,,,Thursday,9:00:00 AM,12:45:00 PM,2:15:00 PM,4:45:00 PM,
1295,Salvation Army- South L.A.,7651 South Central Avenue,Los Angeles,90001,323.586.0759,helen.arellanes@usw.salvationarmy.org,Helen Arellanes,,,Friday,9:00:00 AM,12:45:00 PM,2:15:00 PM,4:45:00 PM,
1302,La Puente Spanish S.D.A. Church,18047 Valley Boulevard,La Puente,91744,626.912.9408 ,erjarquin@dslextreme.com,Agustin Macias,,,Tuesday,,,8:30:00 PM,9:00:00 PM,
1303,Immaculate Heart of Mary-Hope Net,4954 Santa Monica Boulevard,Los Angeles,90029,323.660.0034,ihmcbusinessmanager@gmail.com,Maria Martinez,,,Monday,11:00:00 AM,,,12:00:00 PM,
1308,East Palmdale Foursquare,"1817 E. Avenue Q., A-6",Palmdale,93550,661.874.8788,janet0213@hotmail.com,Henry Herbert,12/12/2015,,Saturday,10:00:00 AM,,,12:00:00 PM,
1309,Islamic Center of Southern CA-Hope Net,434 S. Vermont Boulevard,Los Angeles,90020,213.382.9200 ,karima@mamdani.us,Karima Hirani,,,Saturday,11:00:00 AM,,,12:00:00 PM,
1315,Inglewood Southside Christian Church,3947 W. 104th Street,Inglewood,90303,310.677.0446,alejandra_marf@hotmail.com,Maria Tigolo,,2nd,Saturday,10:00:00 AM,,,1:00:00 PM,
1327,Love & Faith Christian Center,8505 S. Western Avenue,Los Angeles,90047,323.753.8300,pcruz@westernchristian.org,Doris M. Hylton,,,Monday,8:30:00 AM,10:00:00 AM,,,
1327,Love & Faith Christian Center,8505 S. Western Avenue,Los Angeles,90047,323.753.8300,pcruz@westernchristian.org,Doris M. Hylton,,,Friday,8:30:00 AM,10:00:00 AM,,,
1334,CCC Ebenezery Parish,8803-8807 S. Broadway Street,Los Angeles,90003,323.752.4400,cccebenezeryparish@yahoo.com,Pastor John Clement,,,Saturday,11:00:00 AM,,,1:30:00 PM,
1336,Filipino Christian Church,301 N. Union Avenue,Los Angeles,90026,213.483.5821,jeffla2005@yahoo.com,Jeff Ilagan,,,Saturday,10:00:00 AM,11:00:00 AM,,,
1351,Wilshire Boulevard Temple Hope-Net,3663 Wilshire Boulevard,Los Angeles,90010,213.388.2401,bshapiro@wbtla.org,Rabbi Beau Shaprio,,,Sunday,8:30:00 AM,9:30:00 AM,,,
1355,St. Mark Missionary Baptist,5017 Compton Avenue,Los Angeles,90011,323.231.1040,roybrown@prodigy.net,Roy Brown,,,Wednesday,8:00:00 AM,10:00:00 AM,,,
1357,Gardena Valley Assembly of God,1473 W. 182nd Street,Gardena,90248,310.329.6933,ahummer1usa@aol.com,Benjamin Gutierrez,,,Sunday,,,12:30:00 PM,1:30:00 PM,
1359,St. George Church,15721 Cornuta Avenue,Bellflower,90706,562.862.0273,sse1011@hotmail.com,"Saad Eskander,  Atef Eweda",,2nd & 4th,Thursday,,,4:00:00 PM,6:00:00 PM,
1369,Cory's Kitchen,1418 Arrow Highway,Irwindale,91706,626.305.0392,jayandsharon@sbcglobal.net,Pastor Wayne Leamons/Sharon T.,,,Tuesday,,,6:00:00 PM,8:00:00 PM,
1381,First United Methodist Church of La Puente,15701 E. Hill Street,La Puente,91744,626.968.9394,rexjasso1963@hotmail.com,Rexann Jasso,,Last,Sunday,10:00:00 AM,,,12:30:00 PM,
1383,Sowing Seeds for Life,1350 Arrow Hwy,La Verne,91750,909.392.5777 ,vbrown@dpilabs.com,Vicki M. Brown,,1st & 3rd,Wednesday,,,11:00:00 AM,4:00:00 PM,
1387,Family Mennonite Church,6520 S. Normandie Avenue,Los Angeles,90044,323.750.1744,jwelchn323@aol.com,Joyce Welch,,2nd,Sunday,,,1:00:00 PM,1:30:00 PM,
1391,Mt. Sinai C.O.G.I.C.,936 W. Ninth Street,Pomona,91766,909.868.0224,wyatt1939@verzion.net,Deacon Tyrone Nealy,,3rd ,Saturday,,,12:00:00 PM,2:00:00 PM,
1395,Filipino Baptist Fellowship of Long Beach,2155 Atlantic Avenue,Long Beach,90806,310.212.5175,marissakiamco@yahoo.com,Maria Kiamco,,3rd,Saturday,10:00:00 AM,,,1:00:00 PM,
1397,Chapel of Peace Lutheran Church,1009 N. Market Street,Inglewood,90302,310.673.2584,chapelofpeacelc@yahoo.com,Willa J. Glover,,3rd,Saturday,9:00:00 AM,,,12:00:00 PM,
1400,City of Truth Ministries,"1139 E. Dominguez Street, Suite D",Carson,90746,310.669.8300,mckclew@aol.com,Michelle Lewis,,2nd & 4th,Sunday,,,12:30:00 PM,2:00:00 PM,
1403,Tongan Community Service Center,"13030 Inglewood Avenue, Suite.104",Hawthorne,90249,310.679.9099,vanessa@tonganla.org,Vanessa Tuione,,1st & 3rd,Tuesday,7:00:00 AM,10:00:00 AM,,,
1405,The Lord's Church,9701 Flower Street,Bellflower,90706,562.866.8283,orvella@icloud.com,Orvella Phillips,,2nd & 4th,Wednesday,,,8:00:00 PM,9:00:00 PM,
1410,Peace Lutheran Church,11690 Fenton Avenue,Lake View Terrace,91342,818.899.3950,mrobroz3@verizon.net,Robert Motley,,2nd & 3rd,Saturday,9:00:00 AM,11:00:00 AM,,,
1421,Ed & Frankie Benson Evangelistic Ministries,4232 West Ave. L,Quartz Hill,93536,661.943.1148,shining-lightworshipcenter@yahoo.com,Edward Benson,,3rd,Tuesday,,,12:00:00 PM,1:00:00 PM,
1426,Imani Economic & Community Development Corporation,510 W. Monterey Avenue,Pomona,91768,909.620.9161,poweredbygardner@yahoo.com,Littleton Gardener,,3rd,Saturday,11:00:00 AM,,,12:30:00 PM,
1430,Greater New Morning Star Baptist Church,210 W. Florence Avenue,Los Angeles,90003,323.529.4446 ,Denise_D_Hill@hna.honda.com,Issac Lymon,,,Saturday,8:00:00 AM,11:00:00 AM,,,
1438,Iglesia Apostolica Manantial de Vida,6034 E. Olympic Boulevard,Los Angeles,90022,323-728-8500,magudfranco@aol.com,Omar Heredia,,,Tuesday,,,7:00:00 PM,8:00:00 PM,
1439,Ministerio a la Luz de la Palabra,111 N. Long Beach Boulevard,Compton,90221,626.253.5929 ,reydereyes.stalp@gmail.com,Mario Salamanca,,,Saturday,10:00:00 AM,,,12:00:00 PM,
1442,Zion Hill Baptist Church,7860 10th Avenue,Los Angeles,90043,323.753.4610,daviddbattlela@gmail.com,David Battle,,1st & 3rd,Tuesday,10:00:00 AM,,,12:00:00 PM,
1449,Montebello Watch,1033 South Maple Avenue,Montebello,90640,626-810-5833,dove.mail@roadrunner.com,Richard Mohr,,,Tuesday,,,3:00:00 PM,6:00:00 PM,
1449,Montebello Watch,1033 South Maple Avenue,Montebello,90640,626-810-5833,dove.mail@roadrunner.com,Richard Mohr,,,Wednesday,,,3:00:00 PM,6:00:00 PM,
1449,Montebello Watch,1033 South Maple Avenue,Montebello,90640,626-810-5833,dove.mail@roadrunner.com,Richard Mohr,,,Thursday,,,3:00:00 PM,6:00:00 PM,
1451,Calvary Presbyterian Church,13560 Hawthorne Boulevard,Hawthorne,90250,310.676.1144,revjasonegamble@yahoo.com,Pastor Jason Gamble,,1st,Saturday,,,12:00:00 PM,1:00:00 PM,
1452,Mision Cristana Monte de Sion,6315 Eastern Avenue,Bell Gardens,90201,562.544.4264,cbpabe@gmail.com,Javier or Abraham Aguilar,,,Tuesday,,,8:30:00 PM,9:30:00 PM,
1456,Houses of Light Church Corporation,19359 Londelius Street,Northridge,91324,818.998.2931,"frankgarcia71@yahoo.com, Housesoflightchurch@gmail.com",Francisco Garcia,,,Saturday,7:00:00 AM,7:30:00 AM,,,
1460,Shepherd's Pantry,657 E. Arrow Highway,Glendora,91740,626.852.7630,phuisman@shepherdspantry.com,Phil Huisman,,,Wednesday,,,5:00:00 PM,7:00:00 PM,
1460,Shepherd's Pantry,657 E. Arrow Highway,Glendora,91740,626.852.7630,phuisman@shepherdspantry.com,Phil Huisman,,,Thursday,,,5:00:00 PM,7:00:00 PM,
1461,Village Covenant,5607 N. Barranca Avenue,Azusa,91702,626-335-4013,arkthrift@hotmail.com,Linda Brown/Colleen Williams,,,Friday,9:00:00 AM,,,3:00:00 PM,"Closed 11/27, 12/25, 1/1"
1474,All Saints Episcopal Church Highland Park,5619 Monte Vista Street,Los Angeles,90042,323.255.6806,LGEDGAUDAS@YAHOO.COM,Amina/Linas Gedgaudas,,4th,Saturday,8:30:00 AM,9:00:00 AM,,,
1479,CUSH Foundation,2343 N. San Antonio Avenue,Pomona,91767,909.621.5369,fjohnson9@verizon.net,Floyd Johnson,12/10/2015,,Thursday,9:30:00 AM,,,1:00:00 PM,
1481,Hope Chapel Lancaster,6015 W Avenue J8,Quartz Hill,93536,661.943.1074,"qh4sq@as.net, Fwasson@rpmwin.com",Anita Wasson/ Wanda Proctor,,,Friday,9:30:00 AM,11:00:00 AM,,,
1485,Grace Presbyterian Church,1500 N. Ave 53,Los Angeles,90042,818.957.8090,fgrdn@yahoo.com,Will Huff,,2nd & 4th,Friday,7:30:00 AM,9:00:00 AM,,,
1486,Iglesia Pentecostes Templo Calvario,8824 Long Beach Boulevard,South Gate,90280,310.713.1428,hernandez.pauline116@gmail.com,Pastor Edwin Hernandez,,,Sunday,,,1:00:00 PM,3:00:00 PM,
1486,Iglesia Pentecostes Templo Calvario,8824 Long Beach Boulevard,South Gate,90280,310.713.1428,hernandez.pauline116@gmail.com,Pastor Edwin Hernandez,,,Tuesday,,,7:00:00 PM,9:00:00 PM,
1489,St. Stephen's Community Outreach Program,122 Ramona Avenue,Monterey Park,91754,626.573.9984,mdiaz20@sbcglobal.net,Arleene Seager / David Madrid,,,Saturday,9:30:00 AM,11:30:00 AM,,,
1497,Gospel Mission Baptist Church,7301 S. Avalon Boulevard,Los Angeles,90003,323.759.8087,jonette.jonny@gmail.com,John Nettles,,4th,Wednesday,11:00:00 AM,,,12:00:00 PM,Nov Dist. 3rd Wed at the same time
1501,Salvation Army- Santa Fe Springs,12000 E. Washington Boulevard,Whittier,90606,562.696.9562,juan.rodriguez@usw.salvationarmy.org,Manuel Martinez ,,,Tuesday,,,1:00:00 PM,4:00:00 PM,
1501,Salvation Army- Santa Fe Springs,12000 E. Washington Boulevard,Whittier,90606,562.696.9562,juan.rodriguez@usw.salvationarmy.org,Manuel Martinez ,,,Wednesday,,,1:00:00 PM,4:00:00 PM,
1501,Salvation Army- Santa Fe Springs,12000 E. Washington Boulevard,Whittier,90606,562.696.9562,juan.rodriguez@usw.salvationarmy.org,Manuel Martinez ,,,Thursday,,,1:00:00 PM,4:00:00 PM,
1501,Salvation Army- Santa Fe Springs,12000 E. Washington Boulevard,Whittier,90606,562.696.9562,juan.rodriguez@usw.salvationarmy.org,Manuel Martinez ,,,Friday,,,1:00:00 PM,4:00:00 PM,
1503,Charismatic Ecumencial Ministries International ,4357 West 3rd Street,Los Angeles,90020,213.219.3228,slingofdavid7@yahoo.com,Rev. Linda Isaac,,"1st, 2nd & 3rd",Sunday,,,1:00:00 PM,1:30:00 PM,
1507,First Lutheran Church of Inglewood,600 West Queen Street,Inglewood,90301,310.674.5103,jim.1ranger@gmail.com,Jim Kelch,,2nd & 4th,Thursday,10:00:00 AM,11:30:00 AM,,,
1512,Our Lady of Victory Conference,410 E. Palmer Street,Compton,90221,310.631.5100,ourladyofvictory@aol.com,Carol Pederson,,3rd,Friday,8:30:00 AM,10:00:00 AM,,,
1512,Our Lady of Victory Conference,410 E. Palmer Street,Compton,90221,310.631.5100,ourladyofvictory@aol.com,Carol Pederson,,Last,Saturday,8:30:00 AM,10:00:00 AM,,,
1513,Refuge Chrisitan Center,119 E. Washington Boulevard,Pasadena,91103,626.797.0989,tri-god@sbcglobal.net,Gloria Davis ,,,Thursday,,,12:00:00 PM,1:00:00 PM,
1516,Greater New Unity Baptist Church,9719 S. Avalon Boulevard,Los Angeles,90003,323.757.5094,randy@vsathletics.com,Randy Allison Sr,,3rd,Saturday,8:30:00 AM,10:00:00 AM,,,
1517,Hollywood West Tenant Action Committee,5823 Willoughby Avenue,Los Angeles,90038,323.461.4957,awfmex@aol.com,Cecilia Cardoza,,3rd,Friday,,,4:00:00 PM,6:00:00 PM,
1521,Twin Lakes Community Church,17213 Lake Los Angeles Avenue,Lake Los Angeles,93591,661.264.1215,tlcc@twinlakescc.org,Joanne Kramer,,2nd,Saturday,8:00:00 AM,11:30:00 AM,,,
1530,Iglesia Fuente de Vida Community Center,11134 Saticoy Street,Sun Valley,91352,818.765.0705,ijimenez@ifdv.org ismaliajimenez@yahoo.com,Ismalia Jimenez,,,Sunday,,,12:30:00 PM,1:00:00 PM,
1530,Iglesia Fuente de Vida Community Center,11134 Saticoy Street,Sun Valley,91352,818.765.0705,ijimenez@ifdv.org ismaliajimenez@yahoo.com,Ismalia Jimenez,,,Tuesday,9:00:00 AM,10:00:00 AM,,,
1530,Iglesia Fuente de Vida Community Center,11134 Saticoy Street,Sun Valley,91352,818.765.0705,ijimenez@ifdv.org ismaliajimenez@yahoo.com,Ismalia Jimenez,,,Wednesday,9:00:00 AM,10:00:00 AM,,,
1532,Eastmont S.D.A. Spanish Church,1021 Westside Drive,Los Angeles,90022,323.396.7729,rubentenorioc@hotmail.com,Leonor Villanueva,,,Monday,,,7:30:00 PM,8:00:00 PM,
1535,Shield of Faith Christian Center of Pasadena,1127 N. Lake Avenue,Pasadena,91104,626.773.0505,officefromhopetocare@yahoo.com,Gevonte Easley,,1st & 3rd,Thursday,,,12:00:00 PM,2:00:00 PM,
1540,The Great Vision Church,4465 W. Melrose Avenue,Los Angeles,90029,213-675-8291,osogo@naver.com,Myung Soo Lee ,,1st & 3rd,Saturday,7:00:00 AM,8:00:00 AM,,,
1541,"Helping In Services, Inc.",1535 Gundry Avenue,Long Beach,90813,562.591.8778,lorettanero.hair@yahoo.com,Loretta Nero,,1st & 3rd,Friday,9:00:00 AM,,,12:00:00 PM,
1544,Holy Virgin Mary Coptic Orthodox Church,4900 Cleland Avenue,Los Angeles,90042,323.258.5555,anaamghabour@gmail.com,Anaam Ghabour,12/16/2015,,Wednesday,,,4:00:00 PM,6:00:00 PM,
1545,Esmirna Pentecostal Church,5414 N. Figueroa Street,Los Angeles,90042,323.254.0191 ,iglesiaesmirna@yahoo.com,William Rodriguez,,,Friday,4:00:00 PM,6:00:00 PM,,,
1547,Metropolitan Community Churchof L.A.-Hope Net,4607 Prospect Avenue,Los Angeles,90027,323.669.3436,info@mccla.org ,Rev. Neil Thomas/ Jose Narciso,,,Saturday,9:00:00 AM,11:00:00 AM,,,
1548,Rock Solid Christian Assembly,867 W. 10th Street,San Pedro,90731,310.832.2788,madryte@sbcglobal.net,Mark Wright,,2nd & 4th,Sunday,,,12:30:00 PM,1:30:00 PM,
1550,Centro de Vida International Church Movement,9251 Burnet Avenue,North Hills,91343,818.892.2838,centrodevida.icm@att.net,Blanca Duon,,,Wednesday,10:00:00 AM,,,12:00:00 PM,
1551,Silverlake Community Church-Hope Net,2930 Hyperion Ave,Los Angeles,90027,323.663.3151,welcome@silverlakechurch.com,Stephanie Young ,,,Wednesday,,,5:30:00 PM,6:30:00 PM,
1552,Salvation Army- L.A. Central Corp,906 S. Francisco Street,Los Angeles,90015,213.896.9178,patricia.giron@usw.salvationarmy.org,Patricia Giron,,,Monday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
1552,Salvation Army- L.A. Central Corp,906 S. Francisco Street,Los Angeles,90015,213.896.9178,patricia.giron@usw.salvationarmy.org,Patricia Giron,,,Tuesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
1552,Salvation Army- L.A. Central Corp,906 S. Francisco Street,Los Angeles,90015,213.896.9178,patricia.giron@usw.salvationarmy.org,Patricia Giron,,,Wednesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
1552,Salvation Army- L.A. Central Corp,906 S. Francisco Street,Los Angeles,90015,213.896.9178,patricia.giron@usw.salvationarmy.org,Patricia Giron,,,Thursday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
1553,My Friends House,3533 West 58th Place,Los Angeles,90043,323.292.4939,tempie@myfriendshouseinc.org,Judith Starr,,,Wednesday,9:00:00 AM,11:00:00 AM,,,
1554,Church of the Valley,6565 Vester blvd,Van Nuys,91411,818.284.1331,susansyers33@gmail.com,Susan Syers,,,Tuesday,9:30:00 AM,,,12:00:00 PM,
1554,Church of the Valley,6565 Vester blvd,Van Nuys,91411,818.284.1331,susansyers33@gmail.com,Susan Syers,,,Wednesday,9:30:00 AM,,,12:00:00 PM,
1555,Breath of Life S.D.A. Church,425 S. La Brea,Inglewood,90301,310.837.8782,tonisimp123@aol.com,Antonette Simpson,,1st & 3rd,Thursday,,,12:00:00 PM,3:00:00 PM,
1556,Visions Community Outreach,2300 S. Griffith Avenue,Los Angeles,90011,310.920.1026,real4hm@gmail.com,James Sinclair,,2nd & 4th,Saturday,10:00:00 AM,,,12:00:00 PM,
1558,Spanish American S.D.A. Church,1815 E. Bridge Street,Los Angeles,90033,323.222.7063,foodbank@spanishamericanchurch.org,Mario Melendez,,Closed 11/11,Wednesday,,,6:00:00 PM,7:30:00 PM,
1561,Salvation Army- East L.A.,140 N. Eastman Avenue,Los Angeles,90063,323.263-7577,margarita.hernandez@usw.salvationarmy.org,Margarita Hernandez,,,Monday,9:00:00 AM,12:00:00 PM,12:30:00 PM,4:00:00 PM,
1561,Salvation Army- East L.A.,140 N. Eastman Avenue,Los Angeles,90063,323.263-7577,margarita.hernandez@usw.salvationarmy.org,Margarita Hernandez,,,Tuesday,9:00:00 AM,12:00:00 PM,12:30:00 PM,4:00:00 PM,
1561,Salvation Army- East L.A.,140 N. Eastman Avenue,Los Angeles,90063,323.263-7577,margarita.hernandez@usw.salvationarmy.org,Margarita Hernandez,,,Wednesday,9:00:00 AM,12:00:00 PM,12:30:00 PM,4:00:00 PM,
1561,Salvation Army- East L.A.,140 N. Eastman Avenue,Los Angeles,90063,323.263-7577,margarita.hernandez@usw.salvationarmy.org,Margarita Hernandez,,,Thursday,9:00:00 AM,12:00:00 PM,12:30:00 PM,4:00:00 PM,
1561,Salvation Army- East L.A.,140 N. Eastman Avenue,Los Angeles,90063,323.263-7577,margarita.hernandez@usw.salvationarmy.org,Margarita Hernandez,,,Friday,9:00:00 AM,12:00:00 PM,12:30:00 PM,4:00:00 PM,
1565,H.O.P.E. Helping Other People Excel,11163 S. Central Avenue,Los Angeles,90059,323.567.8524,edithchavez88@yahoo.com,Edith Jaime,,,Friday,9:00:00 AM,11:00:00 AM,,,
1566,Do Right Christian Church,9815 S. Vermont Avenue,Los Angeles,90044,323.755.1053,sparksshatrece@yahoo.com,Pastor Lonnie Mcnamee,,"1st, 2nd & 4th",Saturday,8:30:00 AM,10:30:00 AM,,,Except 3rd Saturday
1567,Rosewood Revitalization Group,4101 Rosewood Avenue,Los Angeles,90004,323.662.1194,"chipaquino@gmail.com, armandolapus@gmail.com",Chip Aquino,12/11/2015,3rd ,Friday,,,3:30:00 PM,4:30:00 PM,
1569,Imperial Church of Christ,11316 S. San Pedro Street,Los Angeles,90061,323.756.0360,imperialcoc@yahoo.com,Pastor L. Marshall Moultry,,,Saturday,7:00:00 AM,8:30:00 AM,,,
1572,Pilipino Worker Center of Southern California,153 Glendale Boulevard,Los Angeles,90026,213.250.4353,pilworker@pwcsc.org,Lolita Lledo,,3rd,Friday,,,6:00:00 PM,7:00:00 PM,
1573,L.A. Grace Church,4975 W. Sunset Boulevard,Los Angeles,90027,213.509.5568,dennistak@gmail.com,Dennis Tak,,,Friday,,,9:30:00 PM,10:00:00 PM,
1588,Iglesia Cristiana El Shaddai USA,5518 S. Broadway,Los Angeles,90037,323.235.5988,jessicachuron@gmail.com,Jeivi Yancovich,,,Friday,,,7:30:00 PM,9:00:00 PM,
1600,Young Hwa United Methodist Church,214 S. Loma Drive,Los Angeles,90026,213.413.4154,digisuper1@yahoo.com,Philip Ahn,,2nd & 4th,Saturday,,,3:00:00 PM,3:45:00 PM,
1601,New Jerusalem C.O.G.I.C.,420 S. Sante Fe Avenue,Compton,90221,310.639.1013,williamatlassr@sbcglobal.net,Virgil Kennerly,,1st & 3rd,Friday,10:00:00 AM,11:30:00 AM,,,
1613,S.V.P. St. Madeleine Parish,931 E. Kingsley Ave,Pomona,91761,909.397.8026,rubyshoes2003@ca.rr.com,David Rodriguez,,, ,,,,,
1616,Crusaders for Christ Baptist Church,3200 W. Temple Street,Los Angeles,90026,323.681.3569,jesseceliz@yahoo.com,Rev. Jesse Celiz,,,Friday,,,3:30:00 PM,5:00:00 PM,
1619,Good News Missionary Baptist Church,2400 W. Vernon Ave,Los Angeles,90008,323.292.3589,king81459@aim.com,Terry Wilson,,2nd & 4th ,Thursday,11:00:00 AM,,,1:00:00 PM,
1622,Hank Lacayo Youth & Family Center,7915 Van Nuys Boulevard,Panorama City,91402,818-644-9970 ,hlyc2001@yahoo.com,Esmeralda Chaires,,,Thursday,,,4:00:00 PM,6:00:00 PM,
1625,St. John's Cathedral-Hope Net,514 W. Adams Boulevard,Los Angeles,90007,213.747.6285,frdan@stjohnsla.org,Father Daniel Ade,,1st & 3rd,Saturday,10:30:00 AM,11:30:00 AM,,,Closed 8/1/14-9/21/14
1629,First Southern Baptist Church of Hollywood,1528 N. Wilton Place,Hollywood,90028,323.466.9631,fsbch@flash.net,Gary Tibbs,,1st,Saturday,,,12:00:00 PM,1:00:00 PM,
1631,Los Angeles Boys & Girls Club,2635 Pasadena Avenue,Los Angeles,90031,323.221.9111,info@labgc.org,Carlyn Oropez,,,Thursday,,,5:00:00 PM,6:00:00 PM,
1632,Echo Park United Methodist,1226 N. Alvarado Boulevard,Los Angeles,90026,323.731.5472,lfoxfarwell@sbcglobal.net,Lisa Fox-Farwell,,,Wednesday,,,2:00:00 PM,5:00:00 PM,
1638,Iglesia Bautista Renacer,15950 Chatsworth St.,Granada Hills,91344,818.277.9982,ocico123@live.com,Silvia Hernandez,,,Wednesday,,,4:00:00 PM,5:00:00 PM,
1641,Good News Central Church,3500 West 1st Street,Los Angeles,90004,213.386.0097,jenasong3800@sbcglobal.net,Jena Song,12/5/2015,,Saturday,8:30:00 AM,11:00:00 AM,,,
1641,Good News Central Church,3500 West 1st Street,Los Angeles,90004,213.386.0097,jenasong3800@sbcglobal.net,Jena Song,12/19/2015,,Saturday,8:30:00 AM,11:00:00 AM,,,
1644,Lawrence Ministries,12441 E. Farlow Street,Hawaiian Gardens,90716,310.764.4104,blawr3263@aol.com,Brenda Lawrence,,3rd ,Saturday,10:00:00 AM,,,2:00:00 PM,
1646,Pentecostal Church of God,2829 1/4 Fletcher Drive ,Los Angeles,90039,323.842.7888 ,pentecostalglendale@yahoo.com,Carlos Alvarado/Flor,,,Wednesday,,,3:00:00 PM,5:00:00 PM,
1649,People for Community Improvement,13008 South Figueroa,Los Angeles,90061,310.538.4013,jpugh.pcicenter@hotmail.com,Jesse Pugh,,2nd & 4th,Friday,11:00:00 AM,,,3:00:00 PM,
1650,Greater Emmanuel M.B.C.,3727 West 111th Place,Inglewood,90303,310.677.9916 ,gembc@sbcglobal.net forhourkids@yahoo.com,Sis. Alean Robinson,,1st,Saturday,9:00:00 AM,,,12:00:00 PM,
1659,Koreatown Multipurpose Senior,2147 W. Washington Boulevard,Los Angeles,90018,213.247.3560 cell,cte.cilc@yahoo.com,Peter Park,,,Tuesday,8:30:00 AM,11:30:00 AM,,,
1662,Ascension's Food Pantry,517 W. 112th Street,Los Angeles,90044,323.754.2978,ascens_ievans@pacbell.net,Ilegra Evans,,Last ,Saturday,9:00:00 AM,11:00:00 AM,,,
1664,First Southern Baptist Church of Long Beach,3435 San Anseline Avenue,Long Beach,90808,562.422.8027,jannice_m@hotmail.com,Janice Mitchell,,3rd,Saturday,10:00:00 AM,,,12:00:00 PM,
1665,Nuevo Amanecer,1035 N. Avalon Boulevard,Wilmington,90744,310.847.6937,nuev0amanecer@yahoo.com,Carlos Robledo,,1st & 3rd,Saturday,10:00:00 AM,11:00:00 AM,,,
